bigram,frequency
skin_tag,11
heart_attack,10
uric_acid,8
god_bless,7
lemon_juice,4
kidney_stone,4
fatty_liver,3
grass_fed,3
randle_cycle,2
olive_oil,2
maple_syrup,1
brain_fog,1
ice_cream,1
bowel_movement,1
grocery_store,1
hairy_toe,1
bone_broth,1
_only_,1
apple_cider,1
