topic_id,document_count,percentage
0,671,1.65
1,1187,2.93
2,1092,2.69
3,144,0.36
4,861,2.12
5,166,0.41
6,491,1.21
7,1722,4.25
8,1574,3.88
9,26025,64.18
10,2410,5.94
11,293,0.72
12,1776,4.38
13,1576,3.89
14,560,1.38
