channel_name,total_comments,positive_outcomes,rate_pct,ci_low,ci_high
KenDBerryMD,3970,413,10.403,9.47103274559194,11.360201511335012
Jason Fung,3963,286,7.217,6.409285894524349,8.024224072672217
Eric Berg DC,3993,282,7.062,6.2860005008765345,7.863761582769848
Eric Westman,3978,250,6.285,5.530417295123177,7.038712921065862
Anthony Chaffee MD,3972,104,2.618,2.1399798590130916,3.121852970795569
Dr. Robert Cywes M.D.,3932,102,2.594,2.11088504577823,3.1027466937945065
Dr. Boz,3959,86,2.172,1.7176054559232128,2.626925991411973
Nick Norwitz,3954,82,2.074,1.6439049064238747,2.5290844714213456
Ben Bikman,3477,65,1.869,1.438021282714984,2.3295944779982745
Mark Hyman,3980,68,1.709,1.306532663316583,2.1105527638190953
Shawn Baker MD,3933,52,1.322,0.966183574879227,1.6781083142639208
